year,state,quarter,suppression,totalRX
2019,AK,1,F,31004
2019,AK,1,T,0
2019,AK,2,F,31848
2019,AK,2,T,0
2019,AK,3,F,30343
2019,AK,3,T,0
2019,AK,4,F,29616
2019,AK,4,T,0
2019,AL,1,F,128132
2019,AL,1,T,0
2019,AL,2,F,138787
2019,AL,2,T,0
2019,AL,3,F,117436
2019,AL,3,T,0
2019,AL,4,F,128398
2019,AL,4,T,0
2019,AR,1,F,123437
2019,AR,1,T,0
2019,AR,2,F,124671
2019,AR,2,T,0
2019,AR,3,F,124433
2019,AR,3,T,0
2019,AR,4,F,125358
2019,AR,4,T,0
2019,AZ,1,F,414425
2019,AZ,1,T,0
2019,AZ,2,F,409279
2019,AZ,2,T,0
2019,AZ,3,F,405585
2019,AZ,3,T,0
2019,AZ,4,F,402464
2019,AZ,4,T,0
2019,CA,1,F,2595166
2019,CA,1,T,0
2019,CA,2,F,2586311
2019,CA,2,T,0
2019,CA,3,F,2597219
2019,CA,3,T,0
2019,CA,4,F,2533106
2019,CA,4,T,0
2019,CO,1,F,138645
2019,CO,1,T,0
2019,CO,2,F,147823
2019,CO,2,T,0
2019,CO,3,F,159514
2019,CO,3,T,0
2019,CO,4,F,141444
2019,CO,4,T,0
2019,CT,1,F,207788
2019,CT,1,T,0
2019,CT,2,F,212270
2019,CT,2,T,0
2019,CT,3,F,204830
2019,CT,3,T,0
2019,CT,4,F,205039
2019,CT,4,T,0
2019,DC,1,F,79934
2019,DC,1,T,0
2019,DC,2,F,80820
2019,DC,2,T,0
2019,DC,3,F,79397
2019,DC,3,T,0
2019,DC,4,F,76600
2019,DC,4,T,0
2019,DE,1,F,69790
2019,DE,1,T,0
2019,DE,2,F,74260
2019,DE,2,T,0
2019,DE,3,F,75326
2019,DE,3,T,0
2019,DE,4,F,74957
2019,DE,4,T,0
2019,FL,1,F,675431
2019,FL,1,T,0
2019,FL,2,F,667660
2019,FL,2,T,0
2019,FL,3,F,667315
2019,FL,3,T,0
2019,FL,4,F,646189
2019,FL,4,T,0
2019,GA,1,F,398539
2019,GA,1,T,0
2019,GA,2,F,396375
2019,GA,2,T,0
2019,GA,3,F,395978
2019,GA,3,T,0
2019,GA,4,F,386320
2019,GA,4,T,0
2019,HI,1,F,73939
2019,HI,1,T,0
2019,HI,2,F,69621
2019,HI,2,T,0
2019,HI,3,F,69636
2019,HI,3,T,0
2019,HI,4,F,66216
2019,HI,4,T,0
2019,IA,1,F,94019
2019,IA,1,T,0
2019,IA,2,F,97606
2019,IA,2,T,0
2019,IA,3,F,97567
2019,IA,3,T,0
2019,IA,4,F,98318
2019,IA,4,T,0
2019,ID,1,F,41381
2019,ID,1,T,0
2019,ID,2,F,45999
2019,ID,2,T,0
2019,ID,3,F,48982
2019,ID,3,T,0
2019,ID,4,F,45757
2019,ID,4,T,0
2019,IL,1,F,807286
2019,IL,1,T,0
2019,IL,2,F,850759
2019,IL,2,T,0
2019,IL,3,F,904637
2019,IL,3,T,0
2019,IL,4,F,903273
2019,IL,4,T,0
2019,IN,1,F,387219
2019,IN,1,T,0
2019,IN,2,F,389126
2019,IN,2,T,0
2019,IN,3,F,384356
2019,IN,3,T,0
2019,IN,4,F,382182
2019,IN,4,T,0
2019,KS,1,F,66317
2019,KS,1,T,0
2019,KS,2,F,65023
2019,KS,2,T,0
2019,KS,3,F,64210
2019,KS,3,T,0
2019,KS,4,F,64795
2019,KS,4,T,0
2019,KY,1,F,645820
2019,KY,1,T,0
2019,KY,2,F,647525
2019,KY,2,T,0
2019,KY,3,F,655870
2019,KY,3,T,0
2019,KY,4,F,642061
2019,KY,4,T,0
2019,LA,1,F,602105
2019,LA,1,T,0
2019,LA,2,F,589142
2019,LA,2,T,0
2019,LA,3,F,606985
2019,LA,3,T,0
2019,LA,4,F,599958
2019,LA,4,T,0
2019,MA,1,F,456102
2019,MA,1,T,0
2019,MA,2,F,529330
2019,MA,2,T,0
2019,MA,3,F,472486
2019,MA,3,T,0
2019,MA,4,F,490173
2019,MA,4,T,0
2019,MD,1,F,407781
2019,MD,1,T,0
2019,MD,2,F,417128
2019,MD,2,T,0
2019,MD,3,F,380458
2019,MD,3,T,0
2019,MD,4,F,398627
2019,MD,4,T,0
2019,ME,1,F,28411
2019,ME,1,T,0
2019,ME,2,F,32748
2019,ME,2,T,0
2019,ME,3,F,33380
2019,ME,3,T,0
2019,ME,4,F,34825
2019,ME,4,T,0
2019,MI,1,F,842244
2019,MI,1,T,0
2019,MI,2,F,850630
2019,MI,2,T,0
2019,MI,3,F,840312
2019,MI,3,T,0
2019,MI,4,F,833671
2019,MI,4,T,0
2019,MN,1,F,279995
2019,MN,1,T,0
2019,MN,2,F,293882
2019,MN,2,T,0
2019,MN,3,F,284952
2019,MN,3,T,0
2019,MN,4,F,293135
