year,state,quarter,gennme,suppression,totalRX
2019,AK,1,Acebutolol Hydrochloride,T,0
2019,AK,1,Aliskiren,T,0
2019,AK,1,Aliskiren/Hydrochlorothiazide,T,0
2019,AK,1,Ambrisentan,T,0
2019,AK,1,Amiloride Hydrochloride,F,18
2019,AK,1,Amiloride Hydrochloride,T,0
2019,AK,1,Amiloride Hydrochloride/Hydrochlorothiazide,T,0
2019,AK,1,Amlodipine Besylate,F,2517
2019,AK,1,Amlodipine Besylate,T,0
2019,AK,1,Amlodipine Besylate/Benazepril Hydrochloride,F,56
2019,AK,1,Amlodipine Besylate/Benazepril Hydrochloride,T,0
2019,AK,1,Amlodipine Besylate/HCTZ/Olmesartan Medoxomil,T,0
2019,AK,1,Amlodipine Besylate/Hydrochlorothiazide/Valsartan,T,0
2019,AK,1,Amlodipine Besylate/Olmesartan Medoxomil,T,0
2019,AK,1,Amlodipine Besylate/Telmisartan,T,0
2019,AK,1,Amlodipine Besylate/Valsartan,T,0
2019,AK,1,Atenolol,F,651
2019,AK,1,Atenolol,T,0
2019,AK,1,Atenolol/Chlorthalidone,T,0
2019,AK,1,Azilsartan Medoxomil/Chlorthalidone,T,0
2019,AK,1,Benazepril Hydrochloride,F,13
2019,AK,1,Benazepril Hydrochloride,T,0
2019,AK,1,Benazepril Hydrochloride/Hydrochlorothiazide,T,0
2019,AK,1,Bisoprolol Fumarate,F,71
2019,AK,1,Bisoprolol Fumarate,T,0
2019,AK,1,Bisoprolol Fumarate/Hydrochlorothiazide,F,29
2019,AK,1,Bisoprolol Fumarate/Hydrochlorothiazide,T,0
2019,AK,1,Bumetanide,T,0
2019,AK,1,Candesartan Cilexetil,T,0
2019,AK,1,Candesartan Cilexetil/Hydrochlorothiazide,T,0
2019,AK,1,Captopril,T,0
2019,AK,1,Carvedilol,F,1105
2019,AK,1,Carvedilol,T,0
2019,AK,1,Carvedilol Phosphate,F,56
2019,AK,1,Carvedilol Phosphate,T,0
2019,AK,1,Chlorothiazide,T,0
2019,AK,1,Chlorthalidone,F,400
2019,AK,1,Chlorthalidone,T,0
2019,AK,1,Clonidine Hydrochloride,F,2179
2019,AK,1,Clonidine Hydrochloride,T,0
2019,AK,1,Diltiazem Hydrochloride,F,278
2019,AK,1,Diltiazem Hydrochloride,T,0
2019,AK,1,Doxazosin Mesylate,F,35
2019,AK,1,Doxazosin Mesylate,T,0
2019,AK,1,Enalapril Maleate,F,40
2019,AK,1,Enalapril Maleate,T,0
2019,AK,1,Enalapril Maleate/Hydrochlorothiazide,T,0
2019,AK,1,Eplerenone,F,32
2019,AK,1,Eplerenone,T,0
2019,AK,1,Felodipine,T,0
2019,AK,1,Furosemide,F,1523
2019,AK,1,Furosemide,T,0
2019,AK,1,Guanfacine Hydrochloride,F,1925
2019,AK,1,Guanfacine Hydrochloride,T,0
2019,AK,1,Hydralazine Hydrochloride,F,115
2019,AK,1,Hydralazine Hydrochloride,T,0
2019,AK,1,Hydralazine Hydrochloride/Isosorbide Dinitrate,T,0
2019,AK,1,Hydrochlorothiazide,F,1767
2019,AK,1,Hydrochlorothiazide,T,0
2019,AK,1,Hydrochlorothiazide/Irbesartan,T,0
2019,AK,1,Hydrochlorothiazide/Lisinopril,F,619
2019,AK,1,Hydrochlorothiazide/Lisinopril,T,0
2019,AK,1,Hydrochlorothiazide/Losartan Potassium,F,170
2019,AK,1,Hydrochlorothiazide/Losartan Potassium,T,0
2019,AK,1,Hydrochlorothiazide/Metoprolol Tartrate,T,0
2019,AK,1,Hydrochlorothiazide/Propranolol Hydrochloride,T,0
2019,AK,1,Hydrochlorothiazide/Spironolactone,T,0
2019,AK,1,Hydrochlorothiazide/Telmisartan,T,0
2019,AK,1,Hydrochlorothiazide/Triamterene,F,160
2019,AK,1,Hydrochlorothiazide/Triamterene,T,0
2019,AK,1,Hydrochlorothiazide/Valsartan,F,16
