year,state,quarter,gennme,prodnme,suppression,totalRX
2019,AK,1,Acebutolol Hydrochloride,ACEBUTOLOL HCL,T,0
2019,AK,1,Aliskiren,TEKTURNA,T,0
2019,AK,1,Aliskiren/Hydrochlorothiazide,TEKTURNA HCT,T,0
2019,AK,1,Ambrisentan,LETAIRIS,T,0
2019,AK,1,Amiloride Hydrochloride,AMILORIDE HCL,F,18
2019,AK,1,Amiloride Hydrochloride,AMILORIDE HCL,T,0
2019,AK,1,Amiloride Hydrochloride/Hydrochlorothiazide,AMILORIDE HCL/HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Amlodipine Besylate,AMLODIPINE BESYLATE,F,2517
2019,AK,1,Amlodipine Besylate,AMLODIPINE BESYLATE,T,0
2019,AK,1,Amlodipine Besylate/Benazepril Hydrochloride,AMLODIPINE BESYLATE-BENAZEPRIL HCL,F,56
2019,AK,1,Amlodipine Besylate/Benazepril Hydrochloride,AMLODIPINE BESYLATE-BENAZEPRIL HCL,T,0
2019,AK,1,Amlodipine Besylate/HCTZ/Olmesartan Medoxomil,AMLODIPINE BESYLATE-HCTZ-OLMESARTAN MEDOXOMIL,T,0
2019,AK,1,Amlodipine Besylate/Hydrochlorothiazide/Valsartan,AMLODIPINE-VALSARTAN-HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Amlodipine Besylate/Olmesartan Medoxomil,AMLODIPINE BESYLATE-OLMESARTAN MEDOXOMIL,T,0
2019,AK,1,Amlodipine Besylate/Telmisartan,TELMISARTAN-AMLODIPINE BESYLATE,T,0
2019,AK,1,Amlodipine Besylate/Valsartan,AMLODIPINE BESYLATE-VALSARTAN,T,0
2019,AK,1,Atenolol,ATENOLOL,F,651
2019,AK,1,Atenolol,ATENOLOL,T,0
2019,AK,1,Atenolol/Chlorthalidone,ATENOLOL-CHLORTHALIDONE,T,0
2019,AK,1,Azilsartan Medoxomil/Chlorthalidone,EDARBYCLOR,T,0
2019,AK,1,Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,F,13
2019,AK,1,Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,T,0
2019,AK,1,Benazepril Hydrochloride/Hydrochlorothiazide,BENAZEPRIL HCL/HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Bisoprolol Fumarate,BISOPROLOL FUMARATE,F,71
2019,AK,1,Bisoprolol Fumarate,BISOPROLOL FUMARATE,T,0
2019,AK,1,Bisoprolol Fumarate/Hydrochlorothiazide,BISOPROLOL FUMARATE/HYDROCHLOROTHIAZIDE,F,29
2019,AK,1,Bisoprolol Fumarate/Hydrochlorothiazide,BISOPROLOL FUMARATE/HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Bisoprolol Fumarate/Hydrochlorothiazide,BISOPROLOL/HCTZ,T,0
2019,AK,1,Bumetanide,BUMETANIDE,T,0
2019,AK,1,Candesartan Cilexetil,CANDESARTAN CILEXETIL,T,0
2019,AK,1,Candesartan Cilexetil/Hydrochlorothiazide,CANDESARTAN CILEXETIL-HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Captopril,CAPTOPRIL,T,0
2019,AK,1,Carvedilol,CARVEDILOL,F,1105
2019,AK,1,Carvedilol,CARVEDILOL,T,0
2019,AK,1,Carvedilol Phosphate,CARVEDILOL,F,37
2019,AK,1,Carvedilol Phosphate,CARVEDILOL,T,0
2019,AK,1,Carvedilol Phosphate,COREG CR,F,19
2019,AK,1,Carvedilol Phosphate,COREG CR,T,0
2019,AK,1,Chlorothiazide,DIURIL,T,0
2019,AK,1,Chlorthalidone,CHLORTHALIDONE,F,400
2019,AK,1,Chlorthalidone,CHLORTHALIDONE,T,0
2019,AK,1,Clonidine Hydrochloride,CLONIDINE HCL,F,2179
2019,AK,1,Clonidine Hydrochloride,CLONIDINE HCL,T,0
2019,AK,1,Diltiazem Hydrochloride,CARDIZEM LA,T,0
2019,AK,1,Diltiazem Hydrochloride,CARTIA XT,F,75
2019,AK,1,Diltiazem Hydrochloride,CARTIA XT,T,0
2019,AK,1,Diltiazem Hydrochloride,DILT-XR,F,15
2019,AK,1,Diltiazem Hydrochloride,DILT-XR,T,0
2019,AK,1,Diltiazem Hydrochloride,DILTIAZEM HCL,F,188
2019,AK,1,Diltiazem Hydrochloride,DILTIAZEM HCL,T,0
2019,AK,1,Diltiazem Hydrochloride,DILTIAZEM HCL CD,T,0
2019,AK,1,Diltiazem Hydrochloride,TAZTIA XT,T,0
2019,AK,1,Doxazosin Mesylate,DOXAZOSIN,F,18
2019,AK,1,Doxazosin Mesylate,DOXAZOSIN MESYLATE,F,17
2019,AK,1,Doxazosin Mesylate,DOXAZOSIN MESYLATE,T,0
2019,AK,1,Enalapril Maleate,ENALAPRIL MALEATE,F,16
2019,AK,1,Enalapril Maleate,ENALAPRIL MALEATE,T,0
2019,AK,1,Enalapril Maleate,EPANED,F,24
2019,AK,1,Enalapril Maleate,EPANED,T,0
2019,AK,1,Enalapril Maleate/Hydrochlorothiazide,ENALAPRIL MALEATE-HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Enalapril Maleate/Hydrochlorothiazide,ENALAPRIL/HCTZ,T,0
2019,AK,1,Eplerenone,EPLERENONE,F,32
2019,AK,1,Eplerenone,EPLERENONE,T,0
2019,AK,1,Felodipine,FELODIPINE,T,0
2019,AK,1,Furosemide,FUROSEMIDE,F,1502
2019,AK,1,Furosemide,FUROSEMIDE,T,0
2019,AK,1,Furosemide,PREMIERPRO RX FUROSEMIDE,F,21
2019,AK,1,Guanfacine Hydrochloride,GUANFACINE HCL,F,1925
2019,AK,1,Guanfacine Hydrochloride,GUANFACINE HCL,T,0
2019,AK,1,Hydralazine Hydrochloride,HYDRALAZINE HCL,F,115
2019,AK,1,Hydralazine Hydrochloride,HYDRALAZINE HCL,T,0
2019,AK,1,Hydralazine Hydrochloride/Isosorbide Dinitrate,BIDIL,T,0
2019,AK,1,Hydrochlorothiazide,HYDROCHLOROTHIAZIDE,F,1767
2019,AK,1,Hydrochlorothiazide,HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Hydrochlorothiazide/Irbesartan,IRBESARTAN/HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Hydrochlorothiazide/Lisinopril,LISINOPRIL/HYDROCHLOROTHIAZIDE,F,619
2019,AK,1,Hydrochlorothiazide/Lisinopril,LISINOPRIL/HYDROCHLOROTHIAZIDE,T,0
2019,AK,1,Hydrochlorothiazide/Losartan Potassium,LOSARTAN POTASSIUM-HYDROCHLOROTHIAZIDE,F,170
